GPU,Year_Released,Memory(MB),Memory_bus(BIT),Memory_Clock(MHz),BUS,Memory_Type,Chip
NVIDIA GeForce GTX 1050 Ti,2016,4000,128,1752,PCIe 3.0 x16,GDDR5,GP107
NVIDIA GeForce GTX 1080,2016,8000,256,1251,PCIe 3.0 x16,GDDR5X,GP104
